sample.point,mortality.class,acfl_Ins,baww_ins,bcch_ins,blbw_ins,brcr_ins,btnw_ins,cawa_ins,cedw_ins,dowo_ins,eaki_ins,eaph_ins,eawp_ins,gcfl_ins,gcki_ins,hawo_ins,heth_ins,howa_ins,oven_ins,piwa_ins,piwo_ins,rbnu_ins,revi_ins,scta_ins,sovi_ins,wbnu_ins,wewa_ins,wiwr_ins,ysfl_ins,ytvi_ins,,,
P37,Hi-A,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,1.5,1.5,0,1,0,0,0,0.5,9,6,0.771802444
P69,Hi-A,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,7,,
P70,Hi-A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,,
P719,Hi-A,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,4,,
P721,Hi-A,0,0,2.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,5,,
P724,Hi-A,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3,,
P727,Hi-A,0,0.5,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,7,,
P728,Hi-A,0,0.5,0.5,0,0.5,0.5,0.5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,9,,
P734,Hi-A,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5,1,0,1.5,0,0,0,0.5,6,,
P735,Hi-A,0,0,1.5,0,0,0,0,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,1.5,0,7,6.666666667,0.791367567
P184,Hi-B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,
P187,Hi-B,0,0,0,0,0,0,1,2,0,0,0,3,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,8,,
P188,Hi-B,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,2,0,2,1,1,2,1,0,0,0,12,,
P189,Hi-B,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,,
P195,Hi-B,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,9,,
P196,Hi-B,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,,
P197,Hi-B,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,,
P707,Hi-B,1,0,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0,0,1.5,1.5,0,0,0,0,0,8,,
P710,Hi-B,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,1,0.5,0,0,0,0,0.5,0.5,1,0,0,0,0,9,,
P725,Hi-B,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,6,,
P730,Hi-B,0,0,2.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,5,,
P703,Low,0.5,0.5,0,1,0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0.5,1,0,0,0,0,0,8,6.363636364,0.543937284
P704,Low,0,0,1.5,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,6,,
P705,Low,0,0,2.5,0,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,7,,
P706,Low,0,0,1,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,5,,
P708,Low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,,
P711,Low,0,0,2.5,0,0.5,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,,
P712,Low,0,0,1.5,0,1,1.5,0,0,0.5,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,7,,
P736,Low,0.5,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0,0,7,,
P737,Low,0,0,1.5,0,0,1.5,0,0,0.5,0,0,0,0,0.5,0.5,1,0,0.5,0,0.5,0,0,1,0.5,0,0,0,0,0,10,,
P739,Low,0,0,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,4,,
P740,Low,0,0,1,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,5,,
P713,Med,0,0,1,0,0,0.5,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0.5,0,0,0,7,5.25,0.453163484
P714,Med,0,0,2,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,,
P715,Med,0,0,0,0,0,1.5,0,0.5,0,0.5,0,0,0,0,0,0,0,1.5,0,0,0,0.5,0,0,0,0,0,0,0,5,,
P716,Med,0,0,0,0,0,0.5,0,0,0,0,0,0.5,1,0,0,1.5,0,0,0,0.5,0,0,0,1,0,0,0,0,0,6,,
P717,Med,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,3,,
P718,Med,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,6,,
P720,Med,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,5,,
P723,Med,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,1.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,6,,
